Contexte gauche,Chaîne,Contexte droit
"u, aecnrsed being l'",'," @eied Thorneycroft,"
"ed your doom, then,'",', replied Rongemont. 
d. Bring him along.','," And, followed by th"
", Mr. Thorneyeroft,'",'," cried Anuriol, @t l"
oyed your dsughter.',', 176 AUnIOL. 1 Yon 1
"hm@nt. @It is true,'",', said Rougemont. @I 
meshes-but in v@in.',', e Oh 1'' ejaeulated
t in v@in.'' e Oh 1',', ejaeulated Thorneye
" blame him, not mo,'",'," said Rougemont, wit"
d it been pessible1',', @ried Auriol. @Horr
"hat my brain reels,'",', eriod Thorneyoroft.
@Merciless wretch I','," he added, to Rougem"
" to tie mo to life,'",', @I would ha@e the m
"he miseruable li@e,'",'," said Rougemont, wit"
m no more'' @@old :',', oxclaimed Auriol. `
ord before we part.','," ``Ay, holdI'' echoe"
"part.'' ``Ay, holdI'",', echoed a loud and i
" I, Gerard Paston 1'",'," exclaimed Reeks, st"
"yon, Gerard Paston7'",'," cried Auriol, regar"
"d victim 1' @It is,'",', replied the other. 
"is at hand, Auriol.'",', @And you have dared
ll share his fatoe.',', @I am not to be int
"midated by threats,'",'," replied Paston, wit"
lets can injare me.',', @@e'll try thatl'' 
'' @@e'll try thatl','," cried Ginger, comin"
"l your weapons are,'",'," ssid Rongemont, wit"
". @I will try mine,'",', said Paston. But be
 are you taking met','," he in@uirel, attemp"
"` Ask no questions,'",'," rejoined the dwarf,"
"every chanee of it,'",', rejoined Old Panr. 
hare A@riol's fate.','," te Oh, Lord1 I hope"
", Lord1 I hope not,'",', groaned the iron-me
l drop in a minute.','," @Come along, I say,"
"@Come along, I say,'",', screamed the dwnrf.
em close behind us.','," And as he spoke, sh"
" stir another step,'",', gasped the iron-mer
tter yield at onco.','," @What, without a st"
without a str@gglet','," eriod tho dwarf, ta"
"his accursed place,'",', e Sho is lost for e
" for e@er as it is,'",', eried tho iron-merc
"e may yet be sared,'",', rejoined the dwarf.
re close behind us.','," And it was evident,"
"we shall be canght,'",'," he cried, t and the"
mont's displeasure.',', The iron-merchant r
"s all o@er with me,'",', he ssid. `I gire it
p--TI@@l die here I','," e No-we are saved,'"
" e No-we are saved,'",'," eried the dwarf, as"
"ay to intercept ns,'",'," cried Old Parr, who"
", Mr. Thorneyeroft,'",'," @I@I1 try,'' replie"
"eroft,'' @I@I1 try,'",', replied the iron-me
"seue your daughter,'",', rejoined Old Parr. 
2 :Don't you know 7',', inquired the iron-m
" @Not in the least,'",', returned the dwarf.
oice in tha matter.',', @@on haven't told m
"hardly know myself,'",', replied the dwarf; 
nt we started from.',', @I think we are tur
"ng ronnd ourselves,'",', cried Thorney croft
"trange, I mnst say,'",'," remarked the dwarf,"
e moving around us.','," @Tley are moving,''"
"' @Tley are moving,'",'," eried Thorneycroft,"
er of the E@il Onel',', @The place seems on
"lace seems on fire,'",', eried tho dwarft. :
".--to be snre I do,'",', cried the iron-merc
1-ohl -'m choking I','," 4 Don't mind it,'' "
"'' 4 Don't mind it,'",'," cried the dwarf, wh"
" :I can't stand it,'",', eried Mr. Thorneycr
"sh air in a minute,'",', rejoined Old Parr. 
ome to a dead stop.','," 4Dead stop, indeed "
"Dead stop, indeed 1'",', echoed the iron-mer
"id wull@that's all,'",', replied Old Parr. @
Parr. @Blocked up l',', exclaimed Thomneyer
're antombed ali@o.','," 18a3 iI@am,'' said "
"li@o.'' 18a3 iI@am,'",'," said the dwarf, wit"
othing can harm me.',', 2Don't bo too suro 
"o too suro of that,'",', cried a @oice abo@o
", Mr. Thorneyeroft1'",', asked the dwarf. e 
"arf. e N-o-o-not I,'",', gasped tho iron-mer
elp to drag me o@t.',', @Get out if yon can
"Get out if yon can,'",', cried the voico tha
" Rougemont himself,'",'," cried the dwarf, in"
 there's no escape.','," @None whatever, ras"
"e whatever, rascal,'",', replied the unseen 
work for you to do.',', @I won't lea@e MIr.
" MIr. Thorneyeroft,'",'," eried the dw@rf, re"
 I@ll keep my word.',', ee Fool I'' cried t
y word.'' ee Fool I',', cried tho other. @Y
"bey when I command,'",', And as the words we
", Mr. Thorneyeroft,'",', secreamed Old Parr.
f me-pall mo] down.',', Well-nigh stifled b
"tainly, Mr. Tinker,'",', replied the iron@me
u're got with you ?','," `:Vy, who should it"
"be bnt the 8andmsn,'",'," rejoined the other,"
es into the bargin.','," 4 Yes, ve@'e fonnd "
"e fonnd it all ont,'",', added the Tinker. @
ave you fotnd out 1',', eried tho iron-merc
"hat Take me@t@ her,'",'," e Not so fast, old "
" gent, not so fast,'",', rejoined the Tinker
 nice young 'ooman.',', @Oh 1 it m@st be he
"her-no doubt of it,'",', eried the iron@merc
t a moment's delay.',', @But ve can't get t
"to her, I tell 'ee,'",', replied the Iinker.
"hut up,-that's all.'",'," @Take me to it,'' c"
".'' @Take me to it,'",', cried Mr. Thorneyer
"tep this vay, then,'",', rejoined thei Tinke
he door arter yon 7','," @Not I,' replied th"
e other; ``open it.','," @Easily said,'' rej"
"it.'' @Easily said,'",', rejoined the Tinker
" ha@e followed you,'",', groaned Thorneycrof
"tched on all sides,'",'," ' Ay, and from abov"
"nd from above, too,'",', cried the Sandman. 
. ` Look np there l','," he added, in accent"
"t. @Look np, I say,'",', cried the Sandman. 
". t"" Ay, ay, I see,'",', replied the other. 
 as fast as ve can.',', And he kicked and p
hat can this mean 7',', he cried. @Have I e
"works to a miracle,'",', muttered s personag
"et, why am I here 7'",'," pursued Auriol, loo"
"h1 I see how it is,'",'," he added, with a sh"
ch I have laboured.',', @I will aet upon th
"aet upon that hint,'",', muttered the listen
"what use is memory,'",'," continued A@riol, m"
" from this dungeon,'",'," pursued Auriol, aga"
with Rougemont-ha 1','," e Now it comes,'' e"
"1'' e Now it comes,'",', eried the listener.
"ursues this strain,'",', said the listener. 
 a lifa of penance.',', Mt tlis moment Roug
ol 1-Auriol Darcy 1',', e Who speaks 7'' de
 1'' e Who speaks 7',', demanded Auriol. @A
"n your old faneies,'",', rejoined --NEW EnPL
d ha@e amended you.',', @Tell me who and wh
" who and what I am,'",'," cried Auriol, stupi"
 right mind or not7','," @For the first, yon"
"alled Anriol Darey,'",', replioi Rougemont; 
replioi Rougemont; `,',"for the second, you "
ecorer your reason.',', @Amazement?'' cried
ason.'' @Amazement?','," cried Auriol, strik"
" of your condition,'",', replied Rongemontg 
o raging frenxzies.',', @And I have been sh
p here for safety ?',', demanded Auriol. e 
"uriol. e Precisely,'",', obserred tlo other.
"e@-' 4 Your keeper,'",', replied Rongemont. 
"n ravred about her,'",', replied Rougemont. 
of the imagination.','," Auriol groaned, and"
"rth into the world,'",', said Rongemont; ``b
"l, for the present.'",', And casting a sinis
"s, sol@e my donbts,'",', he cried alond. tI 
"woes will be ended,'",'," As he spoke, he pla"
re worse than ever.',', Auriol uttered a gr
"to another chamber,'",'," he pursued, t where"
e strictly watched.',', @Take me forth-oh I
"oh I take me forth,'",', cried Anriol. eeIt 
which I now repent.',', @I dare not trust y
 we met a misehiet.',', @I have no recollec
" sueh circumstance,'",'," returned Auriol, mo"
ry and reason gonel','," ' Ay, both gone,'' "
"'' ' Ay, both gone,'",'," cried tho other, wi"
ible chuckle. @Ha 1','," execlaimed Anriol, "
errible interviaws.','," @What, you are in y"
n your lunes againl','," cried Rougemont, --"
"nts, and bind] you.'",', @Let me be-let ms b
t me be-let ms be t','," implored Anriol, ``"
Only take me forth.',', eeI came for that p
"e for that parpose,'",', said Rougemont; `ba
"said Anriol. @Well,'",'," rejoined tle other,"
c@n do@to c@lm you.','," So saying, he disap"
" a soothing potion,'",'," he remarked, after "
"condition to judge,'",', rejoined the other.
"then, come with me,'",'," hs said, ``' and do"
your master a-bed 3',', demanded Rougemont.
"ed1 Good lack, sirl'",', exclaimed the dwarf
"the stars have set,'",', e D@@@@r. Lamb l'' 
'' e D@@@@r. Lamb l',', repeated Auriol. @S
"e 2'"" @Very likely,'",'," replied Rougemont, "
rest kinsman.@@@@'' ,',i-@--e@@@@@ @o@@@ @@
ary to confine him.',', @His grandson1 I-D@
. Lamb's grandson 1',', cried Auriol. @In s
"are you, young sir,'",', returned the dwarf.
"u to recollecet it,'",'," @Am I in a dream, g"
"t. `Alack, no, sir,'",', replied the dwarf; 
" But you know, sir,'",'," he added, touching "
ot of the clearest.',', @Wuere does my gran
"ol. @why here, sir,'",', replied the dwarf; 
ey are damp enough.',', Auriol was lost in 
on goes up to him 1','," said tho latter, af"
", as yon know, sir,'",'," repliod the dwarf, "
" on me by doing so,'",'," cried Auriol, risin"
Sit down-sit down I','," said Rougemont, sut"
eertain his wi@hee.','," So saying, he quitt"
"dsire will see yon,'",', said the mannikin. 
" word before we go,'",'," cried Auriol, seizi"
ow you frighten mel',', exelaimed the dwarf
"e yon to my master,'",'," e Pardon me,'' repl"
"ter,'' e Pardon me,'",', replied A@riol; `I 
"What, your keeper 2'",', said tha dwarf. @Oh
non. Now follow me.',', And taking up the t
" Come in, grandson,'",'," said the old man, k"
s me--mnuch better.',', @Are yon indeed li@
y do me a mischief.',', e I have no such in
"uch intention, sir,'",', ssid Anriol; @indee
e my aged relative.','," 4 To be sure he is,"
"e he is, yonng sir,'",', interposed the dwar
"bt it@1 e Oh 1 sir,'",'," cried Auriol, throw"
"t decei@ei, my son,'",', replied the old man
"k the matter orer,.'",'," And, as he ssid thi"
"h from that window,'",', he asaid. @Convinee
"t I am what I seem,'",', replied Auriol. @Lo
" @Look forth, then,'",', said tha old man. 4
en so long waiting.',', Auriol then walked 
